Epoch,TrainLoss,ValLoss,Train_C-Index,Val_C-Index,CV
0,28.48526430130005,"tensor(2.3989, device='cuda:1')",0.511828627879166,0.594547053649956,1
1,28.26663565635681,"tensor(2.3867, device='cuda:1')",0.5981216781051654,0.5734388742304309,1
2,27.897530555725098,"tensor(2.3818, device='cuda:1')",0.5749256957579033,0.5664028144239226,1
3,27.15362048149109,"tensor(2.3610, device='cuda:1')",0.6193940710174829,0.5795954265611257,1
4,27.355634927749634,"tensor(2.3316, device='cuda:1')",0.6513119221931277,0.6024626209322779,1
5,26.690147042274475,"tensor(2.3145, device='cuda:1')",0.6488909863142992,0.6077396657871592,1
6,26.266316056251526,"tensor(2.3011, device='cuda:1')",0.6534611958287481,0.6103781882145998,1
7,26.88722252845764,"tensor(2.2917, device='cuda:1')",0.6600184105553851,0.6121372031662269,1
8,26.294923543930054,"tensor(2.2887, device='cuda:1')",0.6764812045583458,0.6191732629727352,1
9,25.523595929145813,"tensor(2.2873, device='cuda:1')",0.6895431684828164,0.6226912928759895,1
10,25.658270478248596,"tensor(2.3111, device='cuda:1')",0.704683020070086,0.6147757255936676,1
11,24.998835921287537,"tensor(2.3356, device='cuda:1')",0.7307408189109329,0.6165347405452947,1
12,24.73696208000183,"tensor(2.2903, device='cuda:1')",0.7269842921044419,0.6323658751099385,1
13,24.735995531082153,"tensor(2.2682, device='cuda:1')",0.735250503124669,0.6534740545294635,1
14,24.262431502342224,"tensor(2.2625, device='cuda:1')",0.7450720644340822,0.6517150395778364,1
15,23.720752239227295,"tensor(2.2599, device='cuda:1')",0.7537174225870064,0.6569920844327177,1
16,22.903199434280396,"tensor(2.2617, device='cuda:1')",0.7683734453238572,0.6640281442392261,1
17,23.329405426979065,"tensor(2.2088, device='cuda:1')",0.7646875324945409,0.6789797713280563,1
18,22.08910083770752,"tensor(2.2101, device='cuda:1')",0.7848520955291923,0.683377308707124,1
19,21.888892889022827,"tensor(2.3037, device='cuda:1')",0.792590246991767,0.6657871591908531,1
20,22.162480235099792,"tensor(2.2328, device='cuda:1')",0.8086928765228494,0.6816182937554969,1
21,21.091144561767578,"tensor(2.2679, device='cuda:1')",0.808945420424334,0.6992084432717678,1
22,21.23006021976471,"tensor(2.3736, device='cuda:1')",0.8081849422055608,0.6763412489006156,1
23,20.875944018363953,"tensor(2.2804, device='cuda:1')",0.8186419686608153,0.6895338610378188,1
24,20.177049040794373,"tensor(2.3023, device='cuda:1')",0.8300073909830007,0.6851363236587511,1
25,20.197980880737305,"tensor(2.3015, device='cuda:1')",0.8303538663171691,0.6939313984168866,1
26,20.065953493118286,"tensor(2.2988, device='cuda:1')",0.8420916920220721,0.6983289357959542,1
27,18.40175849199295,"tensor(2.5632, device='cuda:1')",0.8499526166157734,0.6798592788038699,1
28,18.250304460525513,"tensor(2.2862, device='cuda:1')",0.8639705882352942,0.712401055408971,1
29,18.623904824256897,"tensor(2.4137, device='cuda:1')",0.8541213888152663,0.6877748460861918,1
