Epoch,TrainLoss,ValLoss,Train_C-Index,Val_C-Index,CV
0,30.332078456878662,"tensor(2.2741, device='cuda:1')",0.5433531292827776,0.5200333889816361,2
1,30.304208040237427,"tensor(2.2693, device='cuda:1')",0.5844449520328917,0.5459098497495827,2
2,29.82693600654602,"tensor(2.2643, device='cuda:1')",0.6251713111009594,0.5475792988313857,2
3,29.215540647506714,"tensor(2.2600, device='cuda:1')",0.6398812243033348,0.5542570951585977,2
4,29.203227996826172,"tensor(2.2612, device='cuda:1')",0.6492005481955231,0.5642737896494157,2
5,28.67381715774536,"tensor(2.2738, device='cuda:1')",0.6532663316582915,0.5609348914858097,2
6,28.298186540603638,"tensor(2.3001, device='cuda:1')",0.6616263133851074,0.5617696160267112,2
7,28.042906999588013,"tensor(2.3043, device='cuda:1')",0.6680676107811786,0.5575959933222037,2
8,27.74960482120514,"tensor(2.2586, device='cuda:1')",0.679442667884879,0.5651085141903172,2
9,27.79322123527527,"tensor(2.2838, device='cuda:1')",0.6828232069438099,0.5651085141903172,2
10,27.546176195144653,"tensor(2.2972, device='cuda:1')",0.6900867976244861,0.5642737896494157,2
11,26.904757261276245,"tensor(2.3092, device='cuda:1')",0.6925536774783005,0.5709515859766278,2
12,27.399526715278625,"tensor(2.3364, device='cuda:1')",0.6952946550936501,0.5634390651085142,2
13,27.595955729484558,"tensor(2.3533, device='cuda:1')",0.6972590223846505,0.5701168614357263,2
14,27.266481518745422,"tensor(2.3164, device='cuda:1')",0.7026952946550936,0.5684474123539232,2
15,26.89716935157776,"tensor(2.3368, device='cuda:1')",0.7095020557332116,0.5692821368948247,2
16,26.66613495349884,"tensor(2.3760, device='cuda:1')",0.7132480584741892,0.5692821368948247,2
17,26.2717227935791,"tensor(2.3558, device='cuda:1')",0.7142530835998173,0.5709515859766278,2
18,25.40044927597046,"tensor(2.3868, device='cuda:1')",0.7199177706715395,0.5684474123539232,2
19,26.516440272331238,"tensor(2.3669, device='cuda:1')",0.7210598446779352,0.5709515859766278,2
20,26.150177597999573,"tensor(2.3872, device='cuda:1')",0.7263590680676107,0.5742904841402338,2
21,25.763251900672913,"tensor(2.4904, device='cuda:1')",0.7270443124714482,0.5659432387312187,2
22,25.42105197906494,"tensor(2.3880, device='cuda:1')",0.731521242576519,0.5659432387312187,2
23,24.669973254203796,"tensor(2.5021, device='cuda:1')",0.7336226587482869,0.5684474123539232,2
24,25.27439510822296,"tensor(2.5330, device='cuda:1')",0.7369118318867063,0.5667779632721202,2
25,25.446109890937805,"tensor(2.4114, device='cuda:1')",0.7419826404751028,0.5667779632721202,2
26,24.80136275291443,"tensor(2.5012, device='cuda:1')",0.7441754225673823,0.5642737896494157,2
27,24.17236816883087,"tensor(2.5928, device='cuda:1')",0.7498857925993604,0.5676126878130217,2
28,24.12980854511261,"tensor(2.6115, device='cuda:1')",0.7527181361352215,0.5692821368948247,2
29,24.15238893032074,"tensor(2.6522, device='cuda:1')",0.7531749657377798,0.5676126878130217,2
