Image_Name,ID,Count
1976049_1976049_19-31755_19-31755_MGG,1976049,2781
1984604_YY-ART_5006717_17-27054_17-27054_MGG,1984604,4381
1988559_1988559_20-8880_20-8880_MGG,1988559,2202
1995474_1995474_t1_nan_MGG,1995474,10095
1996027_1996027_20-8019_20-8019_MGG,1996027,3755
1997988_1997988_20-11770_20-11770_MGG,1997988,2677
2004615_2004615_20-22908_20-22908_MGG,2004615,960
2006050_2006050_t0_nan_MGG,2006050,3225
2020032_YY-ART_1788189_t0_nan_MGG,2020032,1233
2020648_YY-ART_1780719_15-31474_15-31474_MGG,2020648,2058
2022333_YY-ART_1739433_t0_nan_MGG,2022333,1099
2022333_YY-ART_346502_t0_nan_MGG,2022333,1868
2023256_YY-ART_1922054_t0_nan_MGG,2023256,2822
2023748_YY-ART_1867730_t0_nan_MGG,2023748,2529
203377_203377_17-8569_17-8569_MGG,203377,2338
206598_206598_19-45933_19-45933_MGG,206598,4972
208519_208519_19-29724_19-29724_MGG,208519,3479
21182_21182_16-31565_16-31565_MGG,21182,8328
2121658_YY-ART_1895487_t0_nan_MGG,2121658,483
214164_214164_19-45817_19-45817_MGG,214164,4881
227501_227501_t0_nan_MGG,227501,5439
231174_231174_t0_nan_MGG,231174,4869
232087_232087_t1_nan_MGG,232087,5161
236372_236372_19-27580_19-27580_MGG,236372,3695
242710_242710_17-9756_17-9756_MGG,242710,1137
248885_248885_17-30463_17-30463_MGG,248885,4531
25240_25240_20-6786_20-6786_MGG,25240,2243
2531_2531_t0_nan_MGG,2531,6427
254899_254899_t0_nan_MGG,254899,5280
26621_26621_t0_nan_MGG,26621,2318
270193_270193_18-35561_18-35561_MGG,270193,516
278623_278623_19-36120_19-36120_MGG,278623,6535
2794_2794_17-27753_17-27753_MGG,2794,7916
281766_281766_t1_nan_MGG,281766,3946
283719_YY-ART_140133_20-17261_20-17261_MGG,283719,2403
285902_285902_17-33131_17-33131_MGG,285902,4857
30542_30542_16-31743_16-31743_MGG,30542,4567
